California,39747267
Texas,29087070
Florida,21646155
New York,19491339
Pennsylvania,12813969
Illinois,12700381
Ohio,11718568
Georgia,10627767
North Carolina,10497741
Michigan,10020472
New Jersey,8922547
Virginia,8571946
Washington,7666343
Arizona,7275070
Massachusetts,6939373
Tennessee,6833793
Indiana,6718616
Missouri,6147861
Maryland,6062917
Wisconsin,5832661
Colorado,5770545
Minnesota,5655925
South Carolina,5147111
Alabama,4898246
Louisiana,4652581
Kentucky,4484047
Oregon,4245901
Oklahoma,3948950
Connecticut,3567871
Utah,3221610
Iowa,3167997
Puerto Rico,3113659
Nevada,3087025
Arkansas,3026412
Mississippi,2987895
Kansas,2910931
New Mexico,2096034
Nebraska,1940919
West Virginia,1791951
Idaho,1790182
Hawaii,1416589
New Hampshire,1363852
Maine,1342097
Montana,1074532
Rhode Island,1056738
Delaware,975033
South Dakota,892631
North Dakota,760900
Alaska,735720
District of Columbia,711571
Vermont,627180
Wyoming,572381